Artist (lyrics),Track,mp3/wav,Genre,Lyrics
Chase & Status and Stormzy,BACKBONE,Chase & Status and Stormzy - BACKBONE.mp3,"uk dance, drum and bass, dancefloor dnb, uk hip hop, grime","Check

Ten toes ain't nine toes

Up but one finger for the trigger

Grrah

Uh-oh, who's on who?

Said you let it ring, but it never goes through

My mind's fucked, my head's gone too

The smoke's with the mandem, but the joke's on you

Uh-oh, who's on what?

Don't tell my brothers cah we'll spin the whole block

What we buyin'? Everything you got

Tell them little pussies that we take the whole lot

You ain't got no backbone

I get it out the trap, I ain't got a trap phone

I got Ps and Ms and Ks and Os

They're illiterate with letters, so I'm lettin' niggas know

Used to give them high-fives, now it's just a middle finger

Diamonds on my Patty, do the Bogle when I linger

They think I'm a rapper, I think I'm a singer (yo)

Catch me in the cut, I treat the Urus like a dinger

Get you southern-fried, I'm a South boy on some South shit

This is Chase & Status, this ain't all that fuckin' house shit

I score a goal and I do my dance, I Peter Crouch it

Heard them brothers wanna do me somethin', but I doubt it

Do me somethin' then, do me somethin' if you're bad

My mother calls me Mike, but I think I'm Jack the Lad

Tell us what you're workin' with, don't tell us what you had

I need to start my sentences with ""Sorry, may I add"" (whoo)

You ain't got no backbone

You ain't got no backbone

Uh-oh, who's on greaze?

Said you got the mash, but you never let it squeeze

My head's hot, my wrist on freeze

I keep a little somethin' for you pussy emcees

Uh-oh, who's on what?

Don't tell my brothers, cah they'll spin the whole block

What we buyin'? Everything you got (yo)

Tell them little pussies that we take the whole lot (whoo)

You ain't got no backbone

You ain't got no backbone

Do me somethin' then, do me somethin' if you're lit

My mother calls me Mike, but I think I'm the shit

Don't tell us how it used to be, just tell us what it is

They never gave me nothin', so it's fair I take the piss, pussy"
Bru-C,No Excuses,Bru-C - No Excuses (ezmp3.cc),"nottingham hip hop, charva, bassline","[Intro]

Oy

Yeah, yeah-eh, I

Bru-C

What we sayin'?

We're goin' out tonight, my G's

No excuses (Yeah, yeah, I)

[Verse 1]

If you don't like me, you can beat it

Got a lickle taste and now she wan eat it

Waitin' for the high, but man, I can't feel it

Took another try, oh damn, I feel seasick

The wave too strong

Hurry up, darlin', you take too long

Sad world, but she wanna be a happy girl

Guarantee tonight I could make you one

[Chorus]

No excuses

We be goin' out tonight, no excuses

Drum 'n' bass boy, I vibe to that music

If I carry on tonight, I might lose it

The wave too strong

Hurry up, darlin', you take too long

Sad world, but she wanna be a happy girl

Guarantee tonight I could make you one

[Post-Chorus]

So let's send it

Energy and vibes are right, you can't end it

Liquor and the chaser make a good friendship

Treat it like a DJ, mix it and blend it

Life been kinda hard, I make it look easy

She be innocent, for me, she gwan freaky

Goggles on my eyes, but still I can see P

Rollin' with the gang, we bound to get greezy

[Bridge]

Déjà vu

Yet again, I can't feel my face

Narcotic in the system

How we get down in the United Kingdom

It's déjà vu

I can't feel my face

Narcotic in the system

How we get down in the United Kingdom (Yeah)

[Verse 2]

I roll with the family only (Yeah)

I been on a graft, now it's back to the old me (I'm back)

Babe, are you daft? You don't have to be lonely (Are you daft?)

Ring a couple gyal, come hang with the broskis (Come through)

Lettin' off steam, gonna get steamin' (Rah)

Summer come 'round, it's the sesh season (Rah)

Said she ain't free till the next weekend (What?)

Work in the mornin', that's a dead reason, rah (That's dead)

[Chorus]

No excuses

We be goin' out tonight, no excuses

Drum 'n' bass boy, I vibe to that music

If I carry on tonight, I might lose it

The wave too strong

Hurry up, darlin', you take too long

Sad world, but she wanna be a happy girl

Guarantee tonight I could make you

[Drop]

One, make you one, I could make you

One, make you one, if you don't like

One, make you one, I could make you

One, make you one, if you don't like

One, make you one, I could make you

One, make you one, if you don't like

One, make you one, I could make you

One, make you one, if you don't, don't

[Chorus]

No excuses

We be goin' out tonight, no excuses

Drum 'n' bass boy, I vibe to that music

If I carry on tonight, I might lose it

The wave too strong

Hurry up, darlin', you take too long

Sad world, but she wanna be a happy girl

Guarantee tonight, I could make you one

[Outro]

Yeah, yeah-eh, I

Bru-C"
LISA feat. Rosalia,New Woman,LISA - NEW WOMAN feat. Rosalía (Official Music Video).mp3,"pop, r&b en espanol, k-pop","Here I go
Bangin’ it, bangin’ it, wanna crack these walls
Bangin’ it, bangin’ it,
wanna echo through the halls
Pullin’ up, fresh face, brand new día
Uh, Lalisa ROSALÍA

Soak up, all new
So I cut
I go, go to the root
Off to bloom, yeah
Purple into gold
Pain has come and gone again
Walked through that fire
I rediscover, ah-ah

Hit it when I serve
Bitch, you better swerve
Revving up my, uh-uh-uh-uh-aura
Focus on my mind
Taking my time
I’m a new woman, woman
Bitch, you better swerve
Revving up my uh-uh-uh-uh-aura
Focus on my mind
Taking my time
I’m a new woman, woman

Face, eyes, body go wild
You want this?
I’m a new woman, woman
Eyes, I’m all about mind
You want this?
I’m a new woman

(Uh, uh, mmh)
Por to’ lo quе soy, yo puedo frontear
No por lo que tеnga siempre me la dan
Y mi energía inmaculá’, bajo perfil
(Y tú ‘tás fuera)
Yo vivo pa’ cantar, no canto pa’ vivir
Nací pura, sí
Ni una era será un flop en mi porvenir
Puta, soy la ROSALÍA, solo sé servir
La noche estrellá’, así sea
Hasta la madrugada, que así sea

Purple into gold
Pain has come and gone again
Walked through that fire
[Ro/Li] I rediscover, ah-ah

Yo le meto duro, sale bien seguro
Acelero mi uh-uh-uh-uh-aura
Yo estoy enfocá’, no presiona na’
I’m a new woman, woman
Sale bien seguro
Acelero mi [Ro/Li] uh-uh-uh-uh-aura
Yo estoy enfocá’, no presiona na’
I’m a new woman, woman

Face, eyes, body go wild
You want this?
I’m a new woman, woman
Eyes, I’m all about mind
You want this?
I’m a new woman

Gimme that, gimme that Alpha, yuh
Gimme that bigger, the better, ugh
Feeding you the bloom growing out ma sleeve
Kissed from a rose, rose, what a, what a meal
Bad luck a sucker, gotta make you tougher
Tryna say you suffer
Oh, don’t blame your mother
Elevate, I liberate a new frontier
I’m a new woma"
Shaun Mendes,Why Why Why,Shawn Mendes - Why Why Why.mp3,"viral pop, pop, canadian pop","Opened up my journal to a page
Everything that hurts me's still the same
Feels like there's nothin' new for me to say
Why, why, why? Why, why, why?
Sweatin' through the sheets, shakin' in bed
Visions of her naked in my head
But I went off and chose myself instead
Why, why, why? Ease my mind
I don't know why, I (hey)
I don't know, I don't know why
Why, why, why?
I stepped off the stage with nothin' left
All the lights were fuckin' with my head
But here I am, singin' songs again
Why, why, why? Ease my mind
I don't know why, I (hey)
I don't know, I don't know why
Why, why, why?
Why, why, why?
Feels like everything goes 'round and 'round
And 'round, and 'round, and 'round it goes
Feels like everything goes 'round and 'round
And 'round, and 'round, and 'round, and
I thought I was about to be a father
Shook me to the core, I'm still a kid (whoo)
Sometimes I still cry out for my mother
Why, why, why? Why, why, why?
I don't know why, I
I don't know, I don't know why
Why, why, why?
Why, why, why?
Feels like everything goes 'round and 'round
And 'round, and 'round, and 'round it goes (yeah)
Feels like everything goes 'round and 'round
And 'round, and 'round, and 'round it goes"
Skepta,Nasty,Skepta - Nasty.mp3,grime,"[Intro]
You're not real
Yeah, yeah
Yeah, yeah, yeah, yeah
[Verse]
I don't know why Chip mentioned my name
But Devilman's tryna get attention again
Told you before this year is the year of the real
Fake niggas get left in the rain
Think 'cause I'm up there sitting on a plane
That I can't really hear what the people are saying
But I can hear everything loud and clear
And they're telling me to tell you to stay in your lane
Lord of the Mics, fam, I could have clashed any man
But I said fam, let me clash Devilman
'Cause if man taking the 0121 style
Birmingham have gone clear like Evian
But since then man I can't hear ya
Real Brummy niggas said they won't go near ya
And you would get a wung mai lung sun den jung wun sen
If you do a show in your area
And when you talk about 0121, I know some serious people
In some serious places
I saw your set and it's basic
You try fake it
Did a YouTube video, none of your guys in the back ever showed their faces
'Cause they know Devilman did snitch on some serious cases
Say my name, nah, that's not right
Heart on my sleeve any time that I write
Them man can't say anything that I ain't already told man about my life
Made a couple shit songs, yeah that's nice
Repeated my bars, oh yeah that's nice
'Cause when your bars are hard like mine fam
Sometimes manna gotta say them twice
Fact of the matter is my bars totally murk
Your bars sound like you're smoking the work
Before you end up on the sex offenders list
Manna gon' put the devil in the dirt
Wah gwan for certain man
Thought it was a clash about music
All of a sudden Devilman, you wanna sperm on man
Like a TV, you wanna turn on man
Talk about music, me and my bros are killing it all over the globe
Now you're angry 'cause everybody on your road is asking for me like the Wi-Fi code
Sep San Wung Si Muli Pun Yo Tiomi Yie Wun Sung you're not ready
And if you ever gave me an ounce of skunk, pussy, I wouldn't pay you a penny
[Outro]
Wun Sen
Keep my name out of your nasty mouth
Your nasty lyrics
Nasty"
Yizzy,3 Minutes to Live,Yizzy - 3 Minutes to Live.mp3,"grime, uk melodic rap","That’s right,
I’m on the floor tryna fight for my life,
It’s that, same old story,
Got stabbed a few times with a knife,

And I don’t think that I’m gonna make it,
I feel cold inside,
il be dead in about 3 minutes,
If they don’t stop the bleeding in time,

Another brudda dead it’s dumb,
My time is up in this world I’m leaving,
So can somebody phone my mum,
Tell her that i wont be home this evening,

The mandem look sad,
They felt the pain when i said this rhyme,
Before i go can you tell my Dad,
I’m sorry that we never made up in, time,

So what would you do?
If you had 3 Minutes To Live?

Because we as people
We take life for granted
And I can’t believe that shit,

Yeah thats me,
Lying on the floor i think i blacked out,
I couldn’t even breathe but i never tapped out,
Cah mummy never raised a brudda to back down

So i keep on, fighting, fighting,
Just to stay alive I’m back now,
Paramedics said suttin bout an artery,
And can everybody move to the background,

Somebody please help me,
I can’t feel my legs no more,
Thinking I could of gonna anywhere I want in life why the fuck did i choose this door,

And to that dickhead yute that stabbed me brudda why the fuck did you kill me for,
Got so many young kids that are dying nowadays why the fuck did you kill one more, black out,

I was never on time i was gonna improve but I can’t be late no more,
I swear they say i’ve never felt so alive yeh I can’t relate no more,

Like who’s the best baller alive fam i can’t debate no more,
When I got stabbed by a Griezmann shit got Messi and I can’t explain no more

See I could of had children,
A little beautiful brown eyed daughter,
If she couldn’t skate, then daddy would of taught her,
And how to swim not be scared of the water,

And even though you won’t be born,
Coz of these stab wounds i can’t hug you,
This is a note to what could of been my children just know Daddy would of loved you,

Yeah daddy would of been there to guide you in life to not make mistakes like he,
Yeah daddy would of been there to kiss it all better when you scrapped your very first knee,

Now, Daddy won’t be with you,
You wont even exist,
All coz this yute was intent on taking my life your taking this piss

Nah i going out like this, fuck that,
I claw my way from the dark and come back I ain’t gonna leave nobody with no contact for them to be sitting by the grave with cognac,

Somebody better try con-tact the lord for my soul and tell him that i want that,
I don’t care what a man’s gotta do to survive just tell the breddah that a mans on that

If i gotta keep fighting then I’m on that,
il change my life for the better,
il-even stop walking with a complex,
And i won’t chase this vendetta,

il tell my mum that i love her,
Every single day on the phone,
So please can you grant my wish,
All i really want is just to go home,

That’s the sound of my heartbeat fading,

Telling myself no don’t go sleep,

For the last time I’m not ready to leave
what’s that daylight that a brudda can see if i just believe, nobody grieves,
Hold up lemme just try and breathe,

*GASP*"
Avicii,Levels,Avicii - Levels.mp3,"pop, edm, dance pop, pop dance","[Chorus: Etta James]
Oh, sometimes I get a good feeling, yeah
Get a feeling that I never, never, never, never had before, no no
I get a good feeling, yeah
Oh, sometimes I get a good feeling, yeah
Get a feeling that I never, never, never, never had before, no no
I get a good feeling, yeah"
Calvin Harris,Summer,Calvin Harris - Summer.mp3,"uk dance, progressive house, pop, house, electro house, edm, dance pop","[Chorus]
When I met you in the summer
To my heartbeat's sound
We fell in love
As the leaves turned brown
And we could be together, baby
As long as skies are blue
You act so innocent now
But you lied so soon
When I met you in the summer

[Drop]

[Chorus]
When I met you in the summer (Summer)
To my heartbeat's sound (Yeah)
We fell in love (Love)
As the leaves turned brown (Yeah)
And we could be together, baby
As long as skies are blue (Yeah)
You act so innocent now
But you lied so soon (Yeah)
When I met you in the summer

[Build]
Summer

[Drop]

[Bridge]
When I met you in the summer (Summer)
(Yeah)
(Love)
(Yeah)
Summer (Summer)
(Yeah)
(Love)
(Yeah)

[Drop]"
A$AP Rocky,HIGHJACK,A$AP Rocky - HIGHJACK (Official Video).mp3,"rap, hip hip, freak folk, art pop, ambient folk, east coast hip hop","Like that
They hit my phone, talkin' shit, and I don't like that
Niggas talk about me, where they at? It's just like that
They hit my phone, talkin' shit, and I don't like that
Niggas talkin'—
Fuck yo' ho 'cause she like that
Yeah, a bitch, fat ass, pretty, I might wife that
Niggas swear they pimpin', Scottie sippin', get your wife back
Ho, you know you trippin', Flacko different, know you like that
Swipe a pretty bitch right off her feet, this a hijack
Why your nigga flexin' like he me? Ain't even like that
Bitch mistake my newest pinky ring for a ice pack
Shorty keep on damn requestin' me about some Snapchat
I don't even like rats, invested into mice traps
Pull up to the trenches, all my jewelry, yeah, I'm like that
I just put my finger in the— (ow) 'cause she like that
Don't compare that pussy boy to me (I don't like that)
Feelin' like I'm Sosa, Chiefie Keef (I don't like that)
Tired of them niggas sleepin' on me, I don't like naps
Niggas fuck around and stole the flow and y'all like that?
Okay, okay, and I'm right back
A$AP right up on my gut and that's a life tat'
Walk inside the booth, I just talk, I don't write raps
Walk into the store, I bought the flow 'cause I'm like that
Tell her, ""Give me that, give me those,"" fuck a price tag
Yeah, I hung around way uptown, where it ain't nice at
Catch me on the block, not the web, this ain't Minecraft
Before we dropped ""Peso"" on you niggas, you ain't like Raf
Niggas want a feature from me? This ain't a life raft
Talk to God before I go to sleep, He hit me right back
He said, ""Stay calm, put your trust in me, you on the right path""
These niggas want my wife bad, the people want my next track
The coppers want my black ass (fucked up, but it's) like that
Bitches call my phone, talkin' shit, I don't like that
Niggas on their songs talkin' shit, I don't like that
Niggas hit my phone, what they on? I don't like that
Devil's inside homes all alone, bitches like that
Bitches call my phone, talkin' shit, I don't like that
Niggas on their songs talkin' shit, I don't like that
Niggas hit my phone, what they on? I don't like that
Devil's inside homes all alone, bitches like that
Been gone so long
(Bitches call my phone, talkin' shit, I don't like that)
I'm back to stay
(Niggas on their songs talkin' shit, I don't like that)
My road is lost
(Niggas hit my phone, what they on? I don't like that)
Our liking is chained
(Devil's inside homes all alone, bitches like that)
And when I'm gone
(And when I'm gone)
(Bitches call my phone, talkin' shit, I don't like that)
You wish you stayed
(You wish you stayed)
(Niggas on their songs talkin' shit, I don't like that)
And when I'm gone
(And when I'm gone)
(Niggas hit my phone, what they on? I don't like that)
You wish you stayed
(You wish you stayed)
(Devil's inside homes all alone, bitches like that)
And when I'm gone
(And when I'm gone)
(Bitches call my phone, talkin' shit, I don't like that)
You wish you stayed
(You wish you stayed)
(Niggas on their songs talkin' shit, I don't like that)
And when I'm gone
(And when I'm gone)
(Niggas hit my phone, what they on? I don't like that)
You wish you stayed
(You wish you stayed)
(Devil's inside homes all alone, bitches like that)
And when I'm gone
Ooh, ooh, ooh, ooh-oh"
The Fugees,How Many Mics,Fugees - How Many Mics.mp3,"hip hop, r&b, neo soul, east coast hip hop, new jersey rap, rap kreyol, conscious hip hop, alternative r&b","Pick up your microphones, ha ha
Pick up your microphones
How many mic's do we rip on the daily?
Say me say many moni, say me say many, many, many
How many mic's do we rip on the daily?
Say me say many moni, say me say many, many, many
I get mad frustrated when I rhyme
Thinking of all them kids who try to do this
For all the wrong reasons
Seasons change, mad things rearrange
But it all stays the same like the love doctor Strange
I'm tame like the rapper
Get red like a snapper when they do that
Got your whole block saying ""true dat""
If only they knew that
It was you who was irregular
Sold your soul for some secular
Muzak that's wack
Plus you use that loop over and over
Claiming that you got a new style
Your attempts are futile, ooh child
Your puerile brain waves are sterile
You can't create, you just wait to take, my tape's
Laced with malice
Hands get calloused
From grippin' microphones from here to Dallas
Go ask Alice if you don't believe me
I get Inner Visions like Stevie
See me, ascend from the chalice like the weed be
Indeed be like Khalil Muhammad
MC's make me vomit
I get controversial
Freak your style with no rehearsal
Oh, contraire mon frère, don't you even go there
Me without a mic is like a beat without a snare
I dare to tear into your ego
We go way back like some ganja and Pelequo
Or Coleco Vision
My mind makes incisions in your anatomy
And I'll back this with Deuteronomy
Or Leviticus, God made this word
You can't get with this
Sweet like licorice
Dangerous like syphilis, yeah
How many mic's do we rip on the daily?
Many moni, say me say many, many, many
How many mic's do we rip on the daily?
Many moni, say me say many, many, many
How many mic's do you rip on the daily?
Many moni, say me say many, many, many
How many mic's do we rip on the daily?
Many moni, say me say many, many, many
I used to be underrated
Now I take iron, makes my shit constipated
I'm more concentrated
So on my day off
With David Sonnenberg I play golf
Run through Crown Heights screaming out ""Mazel Tov""
Problem with no man
Before black, I'm first human
Appetite to write like Frederick Douglass with a slave hand
Street pressure, word to Papa, I ain't going under
One day I'll have a label and make deals with Tommy Mottola
Mama always told me, ""You're one in a million""
Always watch your back, never tangle with Haitian Sicilians
Now I got a record deal, ""How does it feel?""
I'm never gonna survive unless I get crazy like Seal
'Cause the whole world's out of order
So at night, the fiend's dance on Grease with John Travolta
One got slaughtered as he coughed blood from his mouth
The other tried to duck and caught a left with my Guinness Stout
Brother, brother, can't you get this through your head?
It's a setup by the feds, they're scoping us with their infrareds
How many mic's do you rip on the daily?
Many moni, say me say many, many, many
How many mic's do I rip on the daily?
Many moni, say me say many, many, many
How many mic's do we rip on the daily?
Many moni, say me say many, many, many
Too many MC's, not enough mic's
Exit your show like I exit the turnpike
Dice and dynamite like Dolemite
Double deuce delight, I don't Dick Van Dyke
Starlight to starbrite, the freaks come out at night
Like my man Wyclef (I wear my sunglasses at night)
And my panache will mosh your entourage
Squash your squad and hide your body under my garage
And when the cops come looking
I'll be booking to Brooklyn
Leave the trails broken, flipping tokens to Hoboken
A clean getaway like Alec Baldwin
Driving in my fast car, playing Tracy Chapman
How many mic's do we rip on the daily?
Many moni, say me say many, many, many
How many mic's do you rip on the daily?
Many moni, say me say many, many, many
How many mic's do we rip on the daily?
Many moni, say me say many, many, many
How many mic's do we rip on the daily?
Many moni, say me say many, many, many, many
Many, many, many, moni, many, many, many, many, many, many, moni"
